target_pop_size	latelife_pop_change
247758.83857367	4.85660405028064
213548.83595888	2.32808489706823
266206.574369055	9.09718770321937
197456.415898128	4.29630209474682
306592.797307426	9.0339
209719.971204797	8.71421940381303
295254.002670733	9.71313545010283
212424.284667843	9.62115510656832
193388.164706209	5.30781586318905
179648.39121322	3.17776612213978
376775.239057891	3.02076896298125
369632.687368082	1.84021853740034
318419.694862854	6.0828
235994.992684465	9.84046678067227
327544.414715423	8.06686497896045
247799.84594422	9.29505562947297
308799.271537815	4.58736762059989
237293.922640928	6.97932359682329
347777.673586592	3.59515372911874
309196.535025586	7.5433
228764.376161847	9.1826
245895.063634589	7.2969875121674
217467.86650133	8.23407125437503
288440.643318923	3.06681757245642
239539.929899609	9.07138205388907
358365.875876022	7.38699229319425
230955.887106135	8.5608337699464
186419.71806733	5.5488
267708.595390876	5.62642027290287
189246.870827027	6.98592552487041
311363.684595845	7.46360858946794
213995.559822729	7.69657054279734
448662.958774051	4.58757695489042
285194.752899764	5.431
201887.926341126	6.029
298060.70507705	6.12102012372686
335250.188528321	7.99439322063101
340407.914112148	8.4825046251176
222738.681227133	6.73725756975688
308610.7547573	2.00589728601322
238493.891165678	9.11444044659814
291979.1258381	8.5833629607899
324765.395913566	7.08990739067479
215000.01352233	8.95100635670238
177484.838859768	1.07993404161628
221803.887758947	7.01107833321108
